################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2         21   0.0000000000000000E+00   8.9166934781626228E+00   7.1931338238793385E-01   9.4069349924280188E-01
         2         22   0.0000000000000000E+00   4.9370901734015593E+00   7.0199919387277554E-01   9.3850675923005322E-01
         2         23   2.4695060482444497E-01   1.5216303445842529E+01   5.2218369211021640E+00   1.6932881935897217E+00
         2         24   0.0000000000000000E+00   7.0602190869738770E+00   6.0498945573721319E-01   7.8472727302573020E-01
         2         25   0.0000000000000000E+00   1.5079223321141335E+00   1.9860812876046202E-01   2.6887276703367646E-01
         2         26   9.3053143587377984E-02   4.3039164516189219E+00   1.4825273163707207E+00   4.7869949428614916E-01
         2         27   0.0000000000000000E+00   2.0211219399174456E+00   1.6972120190672357E-01   2.2082985118608514E-01
         2         28   0.0000000000000000E+00   2.6742600505153167E+00   3.7631399591373293E-01   5.0599079435599992E-01
         2         29   2.7804624744853351E-01   8.0967676951218479E+00   2.7492153407007520E+00   9.0002442702454666E-01
         2         30   0.0000000000000000E+00   3.9679454776928091E+00   3.2032203377698792E-01   4.1715752866304456E-01
         2         31   0.0000000000000000E+00   3.6709998033069540E+00   5.1115833781684072E-01   7.0800730321348659E-01
         2         32   0.0000000000000000E+00   5.0595417522266590E+00   4.2091722767404949E-01   5.5491972395515288E-01
         2         33   0.0000000000000000E+00   5.1845136139831646E-03   7.1717527217706549E-05   1.1836090625683855E-04
         2         34   0.0000000000000000E+00   5.0918389939803963E-04   2.1202576380977178E-05   3.7125142738480467E-05
         2         35   0.0000000000000000E+00   1.5262969677651115E-02   2.1433901441487557E-04   3.4757422182108024E-04
         2         36   0.0000000000000000E+00   9.0870477510420129E-04   3.5109448240830878E-05   6.0430350219474863E-05
         2         37   0.0000000000000000E+00   1.9160299669143271E-03   6.4729566143076390E-06   4.0743187482986580E-05
         2         38   0.0000000000000000E+00   1.9109605570037533E-02   5.5091824984397923E-04   1.4088960285061590E-03
         2         39   0.0000000000000000E+00   1.8330093670031924E-02   2.1118404087366776E-03   2.8194292838856802E-03
         2         40   0.0000000000000000E+00   1.8212315791175625E-02   7.2729700575754961E-04   1.5179221229862420E-03
         2         41   0.0000000000000000E+00   2.2088710698288960E-01   1.4824748785874696E-02   1.0403506833445453E-02
         2         42   0.0000000000000000E+00   2.4729372171584892E-02   2.2246604459396414E-03   3.0560171650017573E-03
         2         43   0.0000000000000000E+00   5.2613753382483260E-02   5.2486819228983494E-04   1.8291057202123855E-03
         2         44   0.0000000000000000E+00   4.8733745404771149E-02   1.4153707389340539E-03   3.6315883887202980E-03
         2         45   0.0000000000000000E+00   5.5620550080186411E-02   5.9723258993858649E-03   7.8106215732410729E-03
         2         46   0.0000000000000000E+00   5.7549669107463827E-02   2.1419472069767239E-03   4.4804763884105656E-03
         2         47   0.0000000000000000E+00   5.9883409178509484E-01   4.2295973311254620E-02   2.8983766123285754E-02
         2         48   0.0000000000000000E+00   9.1079789740381958E-02   6.5975710314923964E-03   8.9690398230501626E-03
         2         49   0.0000000000000000E+00   1.2810639439110075E-01   1.2340821537872102E-03   4.0918217299977218E-03
         2         50   0.0000000000000000E+00   1.5774610926396146E-03   4.1264398020412930E-05   1.1024703274186949E-04
         2         51   0.0000000000000000E+00   1.5272122683438552E-03   5.1399701974852894E-05   1.0726257832603825E-04
         2         52   0.0000000000000000E+00   6.7934054320404474E-03   5.8102331505836596E-05   2.3949774739833211E-04
         2         53   0.0000000000000000E+00   2.1313607128403522E-02   6.1912976255516002E-04   1.5826182090560340E-03
         2         54   0.0000000000000000E+00   2.8412817341028088E-02   2.8146423654947378E-03   3.6581501590533328E-03
         2         55   0.0000000000000000E+00   2.9675834235575425E-02   1.0299670461827244E-03   2.1314265116262523E-03
         2         56   0.0000000000000000E+00   3.2247147497575823E-01   2.0295267696172341E-02   1.4344943479008918E-02
         2         57   0.0000000000000000E+00   5.1206953001871232E-02   3.2649817102917713E-03   4.4701348886282549E-03
         2         58   0.0000000000000000E+00   5.9837973108173542E-02   5.5880453504553315E-04   1.8463089640278552E-03
         2         59   0.0000000000000000E+00   1.7099616999678286E-02   1.4353812168464594E-04   5.4199237782667808E-04
         2         60   0.0000000000000000E+00   1.4035218453246255E-02   3.5091908947964027E-04   9.4595722630746461E-04
         2         61   0.0000000000000000E+00   1.8796736789694696E-02   5.8467236229905485E-04   1.2864733239809736E-03
         2         62   0.0000000000000000E+00   2.9196074889076641E-02   1.8528027814315392E-03   2.6238461430510944E-03
         2         63   0.0000000000000000E+00   1.3295627141382138E-02   1.1866857339540892E-03   1.6142165146145208E-03
         2         64   0.0000000000000000E+00   3.2388699163695606E-02   2.5262961997442378E-04   9.3335407830062939E-04
         3          1   0.0000000000000000E+00   4.0453377422466748E+00   8.1337778667207783E-01   1.1441762737580798E+00
         3          2   0.0000000000000000E+00   4.3668785114682618E-01   5.6120344931603193E-02   7.5412435712966477E-02
         3          3   0.0000000000000000E+00   2.0345497835685202E+02   1.1391106162864044E+00   1.1832960300903931E+01
         3          4   0.0000000000000000E+00   1.5876713092443586E+02   8.5706514746925833E-01   9.2660638116924172E+00
         3          5   0.0000000000000000E+00   1.9773776376457659E+00   3.6863434248643617E-01   5.4418237475770193E-01
         3          6   0.0000000000000000E+00   9.7069788002320259E-02   9.7261997706367936E-03   1.3534599145394989E-02
         3          7   0.0000000000000000E+00   1.0250807262284845E+02   5.1049768826518660E-01   6.0825005700767640E+00
         3          8   0.0000000000000000E+00   7.7880975390142751E+01   3.6489939279919315E-01   4.7106319908741368E+00
         3          9   0.0000000000000000E+00   1.8523452110988448E+01   3.9002108225114847E+00   5.2027536810394333E+00
         3         10   0.0000000000000000E+00   3.0954784728859588E+00   4.6128268280498291E-01   6.0674969247549948E-01
         3         11   0.0000000000000000E+00   7.5493667203179882E+02   4.7558014936551540E+00   4.3736527658480291E+01
         3         12   0.0000000000000000E+00   2.4948314107406528E+01   5.2860277817322645E+00   6.9923399710558769E+00
         3         13   0.0000000000000000E+00   4.6389883621429364E+00   7.0276968542383378E-01   9.2767904418473368E-01
         3         14   0.0000000000000000E+00   1.2230331336934087E+03   8.1591206675713366E+00   7.0742152238909085E+01
         3         15   0.0000000000000000E+00   7.0278740300650711E+00   1.4937175480946248E+00   1.9640238137022517E+00
         3         16   0.0000000000000000E+00   1.2830117267829988E+00   2.0568542958767494E-01   2.7194287661761207E-01
         3         17   0.0000000000000000E+00   3.4488690459631476E+02   2.2707749604156482E+00   1.9899035619955534E+01
         3         18   0.0000000000000000E+00   6.0971574660080947E+01   1.2915509573032567E+01   1.7098062907387273E+01
         3         19   0.0000000000000000E+00   1.0930525623375507E+01   1.6869817619100342E+00   2.2110446358139098E+00
         3         20   1.0312415805346465E-02   2.9910662744253991E+03   1.9603464584583897E+01   1.7315069618009659E+02
         3         21   0.0000000000000000E+00   4.8784224038500859E+01   1.0351379257984176E+01   1.3671917057790905E+01
         3         22   1.6498263766809519E-03   2.3916260426074564E+03   1.5890677865497787E+01   1.3842177075953353E+02
         3         23   0.0000000000000000E+00   1.3805182467927279E+01   2.9245882565166954E+00   3.8690463520217433E+00
         3         24   0.0000000000000000E+00   2.4751718206521804E+00   3.9804149239598208E-01   5.2373869347212176E-01
         3         25   2.3551733310747818E-02   6.7655004450976310E+02   4.5106762101790956E+00   3.9145153401837433E+01
         3         26   0.0000000000000000E+00   2.5971208029621849E+01   5.5114472435331239E+00   7.2741829075904567E+00
         3         27   0.0000000000000000E+00   4.7109231048879820E+00   7.5124061660828823E-01   9.9349805272349556E-01
         3         28   6.0304152931458513E-03   1.2731840866225461E+03   8.4531548318628467E+00   7.3729816255672930E+01
         3         29   0.0000000000000000E+00   3.5297742228328140E+01   7.4817065925253798E+00   9.8863212073910258E+00
         3         30   3.7581667110164378E-07   1.7285696512492991E+03   1.1532546713872483E+01   9.9909842798884796E+01
         3         31   0.0000000000000000E+00   8.3372013285031854E-01   7.9550712470923546E-02   1.3946328817330944E-01
         3         32   0.0000000000000000E+00   1.7324086121146254E-03   3.9704583332879828E-05   8.5966390281746520E-05
         3         33   0.0000000000000000E+00   1.2904324640610637E-03   3.1036032624958283E-05   8.3599994713731533E-05
         3         34   0.0000000000000000E+00   2.3653858731131468E+03   8.3697549211160016E+00   1.3680229308185662E+02
         3         35   0.0000000000000000E+00   8.1565990864914272E+02   2.9717908489007980E+00   4.8571295846625226E+01
         3         36   0.0000000000000000E+00   1.6422777945200096E+03   5.9852272640101489E+00   9.7824314370311669E+01
         3         37   0.0000000000000000E+00   3.9528299456340079E+00   4.7317893716965875E-01   7.7755660090003798E-01
         3         38   0.0000000000000000E+00   1.6922743638582462E-02   1.9126534862312287E-03   3.1245491391128418E-03
         3         39   0.0000000000000000E+00   4.1457934203112634E+00   4.4927161536697480E-01   7.5379601136587859E-01
         3         40   0.0000000000000000E+00   5.6917038963609883E-02   2.8585214889291022E-03   5.0476169228853961E-03
         3         41   0.0000000000000000E+00   3.0141134414698414E-02   2.0159432377207308E-03   3.4736889057743110E-03
         3         42   0.0000000000000000E+00   9.3502446108803667E+00   1.1021394430816238E+00   1.8270248286976638E+00
         3         43   0.0000000000000000E+00   4.0734376285894776E-02   4.8164895769492498E-03   7.8904671920484552E-03
         3         44   0.0000000000000000E+00   1.1349124102563191E+01   1.2874996822922158E+00   2.1309503094189624E+00
         3         45   0.0000000000000000E+00   1.5740764294293497E-01   7.4867216041223884E-03   1.3290884128435194E-02
         3         46   0.0000000000000000E+00   9.1079789740382180E-02   6.2344723018500957E-03   1.0645388638200092E-02
         3         47   0.0000000000000000E+00   2.4552004836179989E+04   8.3503447759968552E+01   1.3647275291447102E+03
         3         48   0.0000000000000000E+00   5.4255050381129049E+03   1.8960973410908480E+01   3.0965051943429143E+02
         3         49   0.0000000000000000E+00   9.2471594381032585E-01   1.0691402678655285E-01   1.7713580116148975E-01
         3         50   0.0000000000000000E+00   2.9575610527170317E-03   1.6914324655550487E-04   2.8501783633468411E-04
         3         51   0.0000000000000000E+00   9.0509974315142616E-01   9.0535205706440636E-02   1.5532762630102762E-01
